d3,60,2,0,0,
d3,30,1,0,0,
d3,40,2,0,0,
d3,56,4,1,0,
d3,47,0,1,0,
d3,61,3,1,0,
d3,69,4,1,3,
d3,46,0,1,0,
d3,48,1,1,0,
d3,68,3,0,3,
d3,56,4,1,2,
d3,32,4,0,0,
d3,45,4,1,3,
d3,69,1,0,0,
d3,45,4,1,0,
d3,48,1,1,0,
d3,68,3,0,3,
d3,31,5,0,2,
d3,54,5,0,0,
d3,52,2,0,0,
d3,51,3,0,0,
d3,49,1,1,0,
d3,33,4,1,0,
d3,47,5,0,2,
d3,34,3,1,0,
d3,48,2,1,0,
d3,47,4,1,0,
d3,48,1,1,0,
d3,68,3,0,3,
d3,27,1,1,0,
d3,40,3,0,0,
d3,44,2,1,0,
d3,39,1,1,0,
d3,45,6,1,0,
d3,46,2,0,0,
d3,53,2,0,0,
d3,36,3,0,0,
d3,22,4,1,0,
d3,15,na,0,0,
d3,31,5,0,0,
d3,53,3,1,0,
d3,65,1,1,0,
d3,67,3,1,0,
d3,46,3,0,0,
d3,40,2,0,0,
d3,43,5,1,0,
d3,54,2,0,0,
d3,22,7,1,0,
d3,25,4,1,0,
d3,19,6,0,0,
d3,26,7,0,0,
d3,31,1,1,0,
d3,20,7,0,0,
d3,55,2,1,0,
d3,50,6,0,0,
d3,29,7,1,0,
d3,30,8,1,0,
d3,59,3,1,2,
d3,36,4,0,0,
d3,46,1,0,0,
d3,46,5,1,1,
d3,56,4,1,2,
d3,32,4,0,0,
d3,49,2,1,0,
d3,52,4,0,0,
d3,36,0,0,0,
d3,46,2,0,0,
d3,53,2,0,0,
d3,26,5,1,0,
d3,64,5,0,0,
d3,43,5,1,0,
d3,54,2,0,0,
d3,45,2,1,0,
d3,55,1,1,0,
d3,46,3,1,0,
d3,48,1,1,0,
d3,68,3,0,3,
d3,80,5,1,0,
d3,43,1,1,0,
d3,29,4,1,0,
d3,77,0,0,0,
d3,42,6,1,0,
d3,49,6,1,0,
d3,56,4,1,2,
d3,32,4,0,0,
d3,52,4,0,0,
d3,76,1,0,0,
d3,52,4,1,0,
d3,65,6,0,0,
d3,30,1,1,0,
d3,34,6,0,0,
d3,21,3,1,3,
d3,43,0,0,2,
d3,1,na,0,3,
d3,39,5,1,0,
d3,32,1,1,0,
d3,49,3,1,0,
d3,37,2,1,0,
d3,42,6,0,0,
d3,28,6,1,0,
d3,4,na,0,0,
d3,77,3,1,0,
d3,39,3,1,0,
d3,40,2,0,0,
d3,56,4,1,0,
d3,34,4,0,0,
d3,65,0,0,0,
d3,40,4,0,0,
d3,45,3,1,0,
d3,35,6,0,0,
d3,37,3,0,0,
d3,49,5,1,3,
d3,74,2,1,2,
d3,39,3,1,0,
d3,75,5,1,0,
d3,52,3,1,0,
d3,39,2,1,0,
d3,46,1,0,0,
d3,46,5,1,1,
d3,56,2,0,0,
d3,74,1,1,0,
d3,67,4,0,0,
d3,27,4,1,0,
d3,80,5,1,0,
d3,43,1,1,0,
d3,67,0,0,0,
d3,32,1,0,0,
d3,44,5,0,2,
d3,80,5,0,0,
d3,48,3,1,0,
d3,55,3,0,2,
d3,52,3,0,0,
d3,39,1,1,0,
d3,52,6,0,0,
d3,40,0,1,0,
d3,52,3,0,0,
d3,39,1,1,0,
d3,69,1,0,0,
d3,23,5,0,2,
d3,42,6,1,0,
d3,49,6,1,0,
d3,50,1,1,0,
d3,36,0,0,0,
d3,51,3,1,0,
d3,49,6,1,2,
d3,77,2,1,0,
d3,60,2,0,0,
d3,67,3,0,0,
