d1, 0, 63, 0, 0
d1, 0, 32, 0, 0
d1, 1, 44, 5, 0
d1, 1, 37, 3, 0
d1, 0, 81, 3, 0
d1, 0, 43, 1, 0
d1, 1, 47, 2, 0
d1, 0, 27, 2, 0
d1, 0, 34, 3, 0
d1, 1, 29, 5, 0
d1, 0, 11, na, 0
d1, 0, 8, na, 0
d1, 0, 3, na, 0
d1, 1, 73, 2, 0
d1, 1, 39, 1, 0
d1, 1, 52, 4, 0
d1, 0, 76, 1, 0
d1, 0, 55, 1, 0
d1, 0, 43, 1, 0
d1, 0, 51, 0, 0
d1, 0, 41, 1, 0
d1, 1, 47, 0, 0
d1, 0, 81, 1, 0
d1, 1, 49, 0, 0
d1, 1, 47, 1, 0
d1, 0, 46, 7, 0
d1, 1, 69, 2, 0
d1, 1, 73, 7, 0
d1, 1, 38, 5, 0
d1, 0, 68, 0, 0
d1, 1, 40, 1, 0
d1, 0, 32, 0, 0
d1, 1, 44, 5, 0
d1, 0, 32, 7, 0
d1, 1, 57, 2, 0
d1, 0, 71, 2, 0
d1, 1, 55, 2, 0
d1, 1, 54, 0, 0
d1, 0, 34, 1, 0
d1, 1, 41, 1, 0
d1, 0, 41, 0, 0
d1, 1, 59, 2, 0
d1, 1, 67, 2, 0
d1, 0, 63, 3, 0
d1, 0, 42, 6, 0
d1, 1, 55, 1, 0
d1, 1, 67, 2, 0
d1, 0, 43, 2, 0
d1, 1, 71, 4, 0
d1, 1, 68, 2, 0
d1, 1, 64, 2, 0
d1, 0, 37, 1, 0
d1, 0, 84, 3, 0
d1, 0, 43, 3, 0
d1, 1, 47, 1, 0
d1, 0, 46, 3, 0
d1, 1, 37, 1, 0
d1, 1, 66, 2, 0
d1, 0, 65, 5, 0
d1, 1, 82, 3, 0
d1, 0, 71, 1, 0
d1, 1, 52, 4, 0
d1, 0, 76, 1, 0
d1, 1, 45, 2, 0
d1, 1, 42, 2, 0
d1, 1, 5, na, 0
d1, 1, 47, 2, 0
d1, 0, 27, 2, 0
d1, 1, 33, 2, 0
d1, 0, 29, 4, 0
d1, 1, 15, na, 0
d1, 1, 73, 2, 0
d1, 1, 39, 1, 0
d1, 0, 52, 2, 0
d1, 0, 47, 1, 0
d1, 0, 61, 3, 0
d1, 1, 49, 2, 0
d1, 1, 69, 2, 0
d1, 0, 34, 3, 0
d1, 0, 55, 0, 0
d1, 0, 61, 3, 0
d1, 0, 51, 2, 0
d1, 0, 70, 1, 0
d1, 1, 48, 2, 0
d1, 0, 47, 4, 0
d1, 1, 38, 3, 0
d1, 0, 58, 2, 0
d1, 1, 80, 4, 0
d1, 1, 58, 2, 0
d1, 0, 50, 3, 0
d1, 0, 61, 2, 0
d1, 0, 37, 3, 0
d1, 0, 32, 6, 0
d1, 1, 49, 0, 0
d1, 0, 52, 3, 0
d1, 0, 23, 4, 0
d1, 1, 41, 1, 0
d1, 0, 81, 0, 0
d1, 1, 64, 4, 0
d1, 1, 42, 1, 0
d1, 1, 26, 0, 0
d1, 1, 14, na, 0
d1, 0, 56, 1, 0
d1, 1, 51, 5, 0
d1, 1, 52, 4, 0
d1, 0, 76, 1, 0
d1, 1, 53, 1, 0
d1, 1, 48, 2, 0
d1, 1, 71, 3, 0
d1, 1, 46, 1, 0
d1, 0, 44, 2, 0
d1, 1, 33, 2, 0
d1, 0, 29, 4, 0
d1, 1, 15, na, 0
d1, 1, 46, 1, 0
d1, 0, 52, 0, 0
d1, 0, 55, 2, 0
d1, 0, 35, 5, 0
d1, 0, 45, 1, 0
d1, 1, 59, 2, 0
d1, 0, 35, 0, 0
d1, 1, 49, 9, 0
d1, 1, 45, 3, 0
d1, 1, 56, 1, 0
d1, 0, 66, 1, 0
d1, 1, 67, 4, 0
d1, 1, 80, 4, 0
d1, 1, 44, 3, 0
d1, 0, 65, 0, 0
d1, 0, 65, 3, 0
d1, 1, 46, 2, 0
d1, 0, 41, 2, 0
d1, 1, 61, 0, 0
d1, 0, 48, 2, 0
d1, 1, 39, 1, 0
d1, 1, 2, na, 0
d1, 1, 7, na, 0
d1, 1, 49, 0, 0
d1, 1, 47, 1, 0
d1, 1, 38, 10, 0
d1, 0, 45, 1, 0
d1, 0, 48, 2, 0
d1, 1, 45, 0, 0
d1, 1, 53, 1, 0
d1, 0, 46, 2, 0
d1, 0, 61, 2, 0
d1, 0, 34, 3, 0
d1, 1, 29, 5, 0
